source,target,relationship
2.OA.A.1,4.NF.B.3.c,dependency
2.OA.B.2,2.NBT.B.5,dependency
2.OA.C.3,3.OA.A.1,dependency
2.OA.C.3,3.OA.D.9,dependency
2.OA.C.4,3.OA.A.1,dependency
3.G.A.1,4.G.A.1,dependency
3.G.A.1,5.G.B.3,dependency
3.MD.A.2,3.OA.D.8,conceptual connection
3.MD.A.2,4.MD.A.1,dependency
3.MD.A.2,3.NF.A.1,conceptual connection
3.MD.B.4,4.MD.B.4,dependency
3.MD.C.5,3.MD.C.6,dependency
3.MD.C.5,3.MD.C.7.d,dependency
3.MD.C.5,3.MD.D.8,dependency
3.MD.C.5,5.MD.C.3,dependency
3.MD.C.6,3.MD.C.7.a,dependency
3.MD.C.7.a,3.MD.C.7.b,dependency
3.MD.C.7.a,3.MD.C.7.c,dependency
3.MD.C.7.b,3.MD.C.7.c,dependency
3.MD.C.7.b,4.MD.A.3,dependency
3.MD.C.7.b,5.NF.B.4.a,dependency
3.MD.C.7.c,3.MD.C.7.d,dependency
3.MD.D.8,4.MD.A.3,dependency
3.NBT.A.1,4.NBT.A.3,dependency
3.NBT.A.2,4.NBT.B.4,dependency
3.NBT.A.2,4.NBT.B.5,dependency
3.NBT.A.2,4.NBT.B.6,dependency
3.NBT.A.3,4.NBT.B.5,dependency
3.NF.A.1,3.G.A.2,dependency
3.NF.A.1,3.NF.A.2,conceptual connection
3.NF.A.1,3.NF.A.3,dependency
3.NF.A.1,4.NF.B.3.a,dependency
3.NF.A.1,4.NF.B.3.b,dependency
3.NF.A.1,4.NF.B.3.c,dependency
3.NF.A.1,4.NF.B.4.a,dependency
3.NF.A.1,5.NF.B.7,dependency
3.NF.A.2,3.MD.B.4,conceptual connection
3.NF.A.2,3.NF.A.3,dependency
3.NF.A.2,4.NF.B.3.a,dependency
3.NF.A.2,4.NF.B.3.b,dependency
3.NF.A.2,4.NF.B.3.c,dependency
3.NF.A.2,5.G.A.1,dependency
3.NF.A.2,5.G.A.2,dependency
3.NF.A.2,6.NS.C.6.a,dependency
3.NF.A.3,4.NF.A.1,dependency
3.OA.A.1,3.OA.A.2,dependency
3.OA.A.1,3.OA.A.3,dependency
3.OA.A.1,3.OA.B.5,dependency
3.OA.A.1,3.OA.B.6,conceptual connection
3.OA.A.1,4.NF.B.4.a,dependency
3.OA.A.1,4.OA.A.1,dependency
3.OA.A.1,5.NF.B.3,dependency
3.OA.A.2,5.NF.B.3,dependency
4.OA.A.1,5.NF.B.3,dependency
4.OA.A.2,5.NF.B.3,dependency
3.OA.A.1,5.NF.B.5,dependency
3.OA.A.2,5.NF.B.5,dependency
4.OA.A.1,5.NF.B.5,dependency
4.OA.A.2,5.NF.B.5,dependency
3.OA.A.1,5.NF.B.6,dependency
3.OA.A.2,5.NF.B.6,dependency
4.OA.A.1,5.NF.B.6,dependency
4.OA.A.2,5.NF.B.6,dependency
3.OA.A.1,5.OA.A.2,dependency
3.OA.A.2,5.OA.A.2,dependency
4.OA.A.1,5.OA.A.2,dependency
4.OA.A.2,5.OA.A.2,dependency
3.OA.A.2,3.OA.A.3,dependency
3.OA.A.2,3.OA.B.5,dependency
3.OA.A.2,3.OA.B.6,conceptual connection
3.OA.A.3,3.OA.A.4,conceptual connection
3.OA.A.3,3.OA.D.8,dependency
3.OA.A.3,4.NF.B.4.c,dependency
3.OA.A.3,4.OA.A.1,dependency
3.OA.A.3,4.OA.A.2,dependency
3.OA.A.3,3.OA.B.6,conceptual connection
3.OA.A.4,3.OA.C.7,conceptual connection
3.OA.A.4,4.MD.A.3,dependency
3.OA.B.5,3.MD.C.7.c,conceptual connection
3.OA.B.5,3.NBT.A.3,dependency
3.OA.B.5,3.OA.C.7,dependency
3.OA.B.5,3.OA.D.9,dependency
3.OA.B.5,4.NBT.B.5,dependency
3.OA.B.5,4.NBT.B.6,dependency
3.OA.B.5,5.MD.C.5.a,dependency
3.OA.B.5,6.EE.A.3,dependency
3.OA.B.5,6.EE.A.4,dependency
3.OA.B.6,3.OA.C.7,dependency
3.OA.B.6,5.NF.B.3,dependency
3.OA.B.6,5.NF.B.7,dependency
3.OA.B.6,6.NS.A.1,dependency
3.OA.C.7,3.OA.D.8,conceptual connection
3.OA.C.7,4.MD.A.1,dependency
3.OA.C.7,4.NBT.B.5,dependency
3.OA.C.7,4.NBT.B.6,dependency
3.OA.C.7,4.OA.B.4,dependency
3.OA.D.8,3.MD.B.3,conceptual connection
3.OA.D.8,3.MD.C.7.d,conceptual connection
3.OA.D.8,3.MD.D.8,conceptual connection
3.OA.D.8,4.OA.A.3,dependency
3.OA.D.9,4.OA.C.5,dependency
4.G.A.1,4.G.A.2,dependency
4.G.A.1,4.MD.C.5,conceptual connection
4.G.A.2,5.G.B.3,dependency
4.MD.A.1,4.MD.A.2,dependency
4.MD.A.1,5.MD.A.1,dependency
4.MD.A.1,6.RP.A.1,dependency
4.MD.A.2,4.NF.B.3.d,conceptual connection
4.MD.A.2,5.MD.A.1,dependency
4.MD.A.2,5.NF.B.3,dependency
4.MD.A.2,5.NF.B.5,dependency
4.MD.A.2,5.NF.B.6,dependency
4.MD.A.3,5.MD.C.5.a,dependency
4.MD.A.3,6.G.A.1,dependency
4.MD.B.4,4.NF.B.3.d,conceptual connection
